Council,Period,Benchmark,Measurement_Tools,Time_Period,Side,Policy_Sector,Issues,bmpType,BMP,Description,Goals,Immediate,Short Term Actions,Long Term Actions,Permittee_Category,Responsible_Parties,parties_typology,statefed_not,Funder,Plan,,,,,,,,,
CGA,2,,,,Demand,Agriculture,Examine potential role of wetlands restoration and water retention structures in addressing surface water low flow conditions. Evaluate implementation considerations for each option.,DCAR,DCAR-8 Address Low Flow with Wetland Restoration and Retention Structures,Conduct research to determine the feasibility and potential beenfits and limitations of aquifer stor4age and recovery for confined aquifers; and determine the feasivility and potential benefits to recharge surficial aquifers to increase stream baseflow to address gaps. ,5,"Develop scope of
work (06/2011-
12/2011)","Complete data collection, research, and evaluation by 01/2020 Incorporate data/findings in next Regional Water Plan revision",NA,NA,epd,state government,statefed,"GFFA, Georgia Reservoir and Water Supply Fund",http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Supply,Agriculture,Help improve surface water flow on the Ogeechee River at Eden and Kings Ferry during low flow conditions,ASWS,ASWS-4 Substitute Existing Surface Water Use with Groundwater in Dry Years,"Existing surface water uses - Replace portion of existing surface water use with groundwater, within the sustainable yield of the groundwater aquifer (outside Red and Yellow Zones) in times of shortage to 7Q10 low flow conditions, so long as use of groundwater sources does not impact surface water flow in other areas","1, 2, 4,","Develop strategy
and work with
potential
participants/
impacted users to
increase support
for and
implementation of
strategy",Evaluate need and feasibility to conjunctively manage groundwater (outside Red and Yellow Zones) and surface water to address 7Q10 low flow conditions (by 01/2015),N/A,Surface water/ Groundwater withdrawal (Agricultural) ,gswcc,state government,statefed,Georgia Fund Loan; Georgia Reservoir and Water Supply Fund,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Supply,Agriculture,Help improve surface water flow on the Ogeechee River at Eden and Kings Ferry during low flow conditions,ASWS,ASWS-4 Substitute Existing Surface Water Use with Groundwater in Dry Years,"Existing surface water uses - Replace portion of existing surface water use with groundwater, within the sustainable yield of the groundwater aquifer (outside Red and Yellow Zones) in times of shortage to 7Q10 low flow conditions, so long as use of groundwater sources does not impact surface water flow in other areas","1, 2, 4,","Develop strategy
and work with
potential
participants/
impacted users to
increase support
for and
implementation of
strategy",Evaluate need and feasibility to conjunctively manage groundwater (outside Red and Yellow Zones) and surface water to address 7Q10 low flow conditions (by 01/2015),N/A,Surface water/ Groundwater withdrawal (Agricultural) ,agricultural surface water users,users,other,Georgia Fund Loan; Georgia Reservoir and Water Supply Fund,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,,Education/outreach support,EDU,EDU-1 Promote Conservation Programs,Support Water Conservation Programs,"2,5","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,epd,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,,Education/outreach support,EDU,EDU-1 Promote Conservation Programs,Support Water Conservation Programs,"2,5","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,state agencies,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,,Education/outreach support,EDU,EDU-1 Promote Conservation Programs,Support Water Conservation Programs,"2,5","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,utilities,utilities,other,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,,Education/outreach support,EDU,EDU-1 Promote Conservation Programs,Support Water Conservation Programs,"2,5","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,municipalities,local government,,,,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-2. Stormwater Education,Support stormwater education programs,"2,6","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,epd,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Demand,Agriculture,Obtain additional data and improved understanding of actual versus forecasted water use,DCAR,DCAR-3 Metering Data ,"Develop scope of
work (01/2012-
06/2012) and key
partnering agencies
(06/2012-01/2015)",,"Develop scope of
work (1/2012-
6/2012) and key
partnering
agencies
(06/2012-01/2015)","Complete data collection,
research, and evaluation by
01/2015
Incorporate data/findings in
next Regional Water Plan
revision",NA,,doa,state government,statefed,State incentive programs,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Demand,,Obtain additional data and improved understanding of actual versus forecasted water use,DCAR,DCAR-4 Improve Data Quality and Analysis,"Develop scope of
work (01/2012-
06/2012) and key
partnering agencies
(06/2012-01/2015)",,"Develop scope of
work (1/2012-
6/2012) and key
partnering
agencies
(06/2012-01/2015)","Complete data collection,
research, and evaluation by
01/2015
Incorporate data/findings in
next Regional Water Plan
revision",N/A,,epd,state government,statefed,USDA Rural Development Water and Wastewater loan/grant,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Demand,,Obtain additional data and improved understanding of actual versus forecasted water use,DCAR,DCAR-4 Improve Data Quality and Analysis,"Develop scope of
work (01/2012-
06/2012) and key
partnering agencies
(06/2012-01/2015)",,"Develop scope of
work (1/2012-
6/2012) and key
partnering
agencies
(06/2012-01/2015)","Complete data collection,
research, and evaluation by
01/2015
Incorporate data/findings in
next Regional Water Plan
revision",N/A,,gswcc,state government,statefed,USDA Rural Development Water and Wastewater loan/grant,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-2. Stormwater Education,Support stormwater education programs,"2,6","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,state agencies,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-2. Stormwater Education,Support stormwater education programs,"2,6","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,utilities,utilities,other,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-2. Stormwater Education,Support stormwater education programs,"2,6","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,municipalities,local government,,,,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-3 Septic System Maintenance Education,#NAME?,"2,3","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,epd,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-3 Septic System Maintenance Education,#NAME?,"2,3","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,state agencies,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-3 Septic System Maintenance Education,#NAME?,"2,3","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,utilities,utilities,other,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-3 Septic System Maintenance Education,#NAME?,"2,3","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,municipalities,local government,other,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-4 Forestry BMP Education,Support GFC Forestry BMP and UGA-SFI Logger Education Programs,"2,6","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,epd,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-4 Forestry BMP Education,Support GFC Forestry BMP and UGA-SFI Logger Education Programs,"2,6","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,state agencies,state government,statefed,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Demand,,Obtain additional data and improved understanding of actual versus forecasted water use,DCAR,DCAR-4 Improve Data Quality and Analysis,"Develop scope of
work (01/2012-
06/2012) and key
partnering agencies
(06/2012-01/2015)",,"Develop scope of
work (1/2012-
6/2012) and key
partnering
agencies
(06/2012-01/2015)","Complete data collection,
research, and evaluation by
01/2015
Incorporate data/findings in
next Regional Water Plan
revision",N/A,,universities,state government,statefed,USDA Rural Development Water and Wastewater loan/grant,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Quality,,Education/outreach support,EDU,EDU-4 Forestry BMP Education,Support GFC Forestry BMP and UGA-SFI Logger Education Programs,"2,6","Develop educational
programs on water
conservation, septic
system
maintenance, and
stormwater
management","Complete educational programs on water conservation, septic system maintenance, and stormwater management","Continue educational programs on water conservation, septic system maintenance, and stormwater management",NA,utilities,utilities,other,State incentive programs; Utilities; Local governments,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,,Future groundwater needs in Green Zone,GW,GW-1 Develop and Practice Sustainable Groundwater Use,"For cities counties, and utilities outside the Red and Yellow Zones, continue to sustainably provide and manage water from the Floridan aquifer and other significant aquifers in areas not impacting salt water intrusion, following EPD permitting protocol regarding leakage between aquifers. Construct new or expanded faciltiies to meet forecasted need.","1,2,3,5","Verify sustainable
yield metrics and
consider relevant
localized impacts
(by 01/2015)",Provide guidance and implement sustainable groundwater withdrawal rates through 01/2025,"Modify Resource Assessments and sustainable yield criteria, if necessary (by 01/2050)","Groundwater withdrawal (Municipal, industrial, and agricultural)",epd,state government,statefed,Georgia Reservoir and Water Supply Fund,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,,Future groundwater needs in Green Zone,GW,GW-1 Develop and Practice Sustainable Groundwater Use,"For cities counties, and utilities outside the Red and Yellow Zones, continue to sustainably provide and manage water from the Floridan aquifer and other significant aquifers in areas not impacting salt water intrusion, following EPD permitting protocol regarding leakage between aquifers. Construct new or expanded faciltiies to meet forecasted need.","1,2,3,5","Verify sustainable
yield metrics and
consider relevant
localized impacts
(by 01/2015)",Provide guidance and implement sustainable groundwater withdrawal rates through 01/2025,"Modify Resource Assessments and sustainable yield criteria, if necessary (by 01/2050)","Groundwater withdrawal (Municipal, industrial, and agricultural)",water providers,utilities,other,Georgia Reservoir and Water Supply Fund,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Supply,Municipal,Future groundwater needs in Green Zone,GW,GW-2 Promote Aquifer Friendly Land Use Practices,Encourage land use practices that sustain and protect aquifer recharge areas (both inside and outisde the region) for the aquifer present intin the region. Counties and local governments should consider practices to promote inflitration and aquifer recharge.,"2,6","Monitor land use
changes and further
delineate aquifer
recharge areas (by
01/2015)",Encourage land use practices that sustain and protect aquifer recharge areas (by 01/2025),Continue to monitor land use and hydrologic relationships,NA,epd,state government,statefed,"State, local governments/utilities",http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NPSF,NPSF-1 Support Forestry Commission Water Quality Program,"Support Georgia Forestry Commission’s (GFC) water quality program consisting of BMP development, education/outreach, implementation/compliance monitoring, and complaint resolution process","4, 6","Continue to support
existing best
management
practices programs",Implement a variety of BMPs related to forestry and agricultural uses (by 01/2015),N/A,Stormwater (NPDES Discharges),county commissions,local government,statefed,,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NPSF,NPSF-1 Support Forestry Commission Water Quality Program,"Support Georgia Forestry Commission’s (GFC) water quality program consisting of BMP development, education/outreach, implementation/compliance monitoring, and complaint resolution process","4, 6","Continue to support
existing best
management
practices programs",Implement a variety of BMPs related to forestry and agricultural uses (by 01/2015),N/A,Stormwater (NPDES Discharges),georgia forestry commission,state government,statefed,,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NPSF,NPSF-2 Improve BMP Compliance,"Improve BMP compliance through State-wide biennial BMP surveys and BMP assurance exams, Master Timber Harvester workshops, and continuing logger education","4, 5, 6,","Continue to support
existing best
management
practices programs",Implement a variety of BMPs related to forestry and agricultural uses (by 01/2015),N/A,Stormwater (NPDES Discharges),county commissions,local government,statefed,,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Supply,Municipal,Future groundwater needs in Green Zone,GW,GW-2 Promote Aquifer Friendly Land Use Practices,Encourage land use practices that sustain and protect aquifer recharge areas (both inside and outisde the region) for the aquifer present intin the region. Counties and local governments should consider practices to promote inflitration and aquifer recharge.,"2,6","Monitor land use
changes and further
delineate aquifer
recharge areas (by
01/2015)",Encourage land use practices that sustain and protect aquifer recharge areas (by 01/2025),Continue to monitor land use and hydrologic relationships,NA,municipalities,local government,other,"State, local governments/utilities",http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NUT,NUT-1 Link Nutrient Loading With Current Land Use,"Align current land use with phosphorus and nitrogen loading data to help optimize effectiveness of management practice based on consideration of land uses and actual nutrient loading contribution to surface water resources (i.e., predominant land use is not necessarily the predominant source of nutrients) - Agricultural, Forestry, Rural, and Urban BMPs See Above Non-Point Source for Details","4, 5","Align current land
use with nutrient
loading data to
optimize
management
practice based on
consideration of land
uses and actual
nutrient contribution
to loading",Support research and development of tools such as the Southern Group of State Foresters and USFS Sediment Prediction modeling tool being developed by Auburn University (by 01/2020),N/A,Stormwater (NPDES Discharges),gswcc,state government,statefed,Clean Water Act Section 319(h) Grants,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NPSF,NPSF-2 Improve BMP Compliance,"Improve BMP compliance through State-wide biennial BMP surveys and BMP assurance exams, Master Timber Harvester workshops, and continuing logger education","4, 5, 6,","Continue to support
existing best
management
practices programs",Implement a variety of BMPs related to forestry and agricultural uses (by 01/2015),N/A,Stormwater (NPDES Discharges),georgia forestry commission,state government,statefed,,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Supply,,Help meet current and forecasted municipal and industrial groundwater use in the Red and Yellow Zones,AAGS,AAGS-4 Study Aquifer Storage and Recovery in Addressing Gaps,"Conduct research to determine the feasibility (technical, financial, legal, political), role, and potential benefits and limitations of aquifer storage and recovery (ASR) in critical gap areas and/or recharge of surficial and other aquifers","1, 2, 3, 4, 5",NA,Evaluate effectiveness and feasibility of aquifer storage and recovery/aquifer recharge (by 01/2015),N/A,,epd,state government,statefed,GEFA Georgia Reservoir and Water Supply Fund/Utilities,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,,Future groundwater needs in Green Zone,GW,GW-3 Research and Analyze Sustainable Groundwater Management,"Continue to monitor and improve understanding of historic, current, and future trends in gorundwater levels; use best avilaalbe science when evaluating potential value and/or recovery of surface water. Utilize sound science and continue to imrpove data and sustainably manage groundwater resources. ",5,NA,"Continue to monitor and improve understanding of historic, current, and future trends in groundwater levels (by 01/2025)",NA,NA,EPD,state government,statefed,"State, local governments/utilities",http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Supply,,Coordinate and optimize water development and distribution for both groundwater and surface water municipal and industrial uses,I,I-1 Cross-Jurisdictional Groundwater Coordination Group,"Formation fo a multi-jurisdictional groundwater use and development ""Group"" to coordinate groundwater development, infrastructure development/use, and optimize yield and sustainability","1,2,3,5","Continue
discussions with
multi-county, city,
and key utilities in
support of a regional
groundwater
coordination group",Continue the collaboration and implementation actions of the regional groundwater coordination group,"Continue to participate in regional groundwater coordination group, as available (by 01/2050)","EPD, Water Providers within and outside Red and Yellow Zones",epd,state government,statefed,State incentive programs,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Supply,,Coordinate and optimize water development and distribution for both groundwater and surface water municipal and industrial uses,I,I-1 Cross-Jurisdictional Groundwater Coordination Group,"Formation fo a multi-jurisdictional groundwater use and development ""Group"" to coordinate groundwater development, infrastructure development/use, and optimize yield and sustainability","1,2,3,5","Continue
discussions with
multi-county, city,
and key utilities in
support of a regional
groundwater
coordination group",Continue the collaboration and implementation actions of the regional groundwater coordination group,"Continue to participate in regional groundwater coordination group, as available (by 01/2050)","EPD, Water Providers within and outside Red and Yellow Zones",water providers,utilities,other,State incentive programs,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Demand,Agriculture,#NAME?,WC,WC-12 Application Efficiency Technologies,"Encourage and improve use of soil moisture sensors, evapotranspiration sensors, or crop water use model(s) to time cycles","1, 2, 5,","Conduct outreach/
education/incentives
to encourage
implementation of
conservation
measures",Implement water conservation practices through 01/2020,Verify conservation savings estimates,"Surface water
and
groundwater
withdrawal
(Agricultural) ",doa,state government,statefed,State/federal loan or grant,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Demand,Agriculture,#NAME?,WC,WC-12 Application Efficiency Technologies,"Encourage and improve use of soil moisture sensors, evapotranspiration sensors, or crop water use model(s) to time cycles","1, 2, 5,","Conduct outreach/
education/incentives
to encourage
implementation of
conservation
measures",Implement water conservation practices through 01/2020,Verify conservation savings estimates,"Surface water
and
groundwater
withdrawal
(Agricultural) ",agricultural water users,users,other,State/federal loan or grant,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NPSF,NPSF-3 Wetland and Forest Restoration Incentives and Support ,"Incentives to restore wetlands and historically drained hardwood and other areas. Where applicable, support United States Department of Agriculture (USDA) incentive programs through the Farm Service Agency and NRCS to restore converted wetlands back to forested conditions.","4, 6","Continue to support
existing best
management
practices programs",Implement a variety of BMPs related to forestry and agricultural uses (by 01/2015),N/A,Stormwater (NPDES Discharges),county commissions,local government,other,Federal grants,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NPSF,NPSF-3 Wetland and Forest Restoration Incentives and Support ,"Incentives to restore wetlands and historically drained hardwood and other areas. Where applicable, support United States Department of Agriculture (USDA) incentive programs through the Farm Service Agency and NRCS to restore converted wetlands back to forested conditions.","4, 6","Continue to support
existing best
management
practices programs",Implement a variety of BMPs related to forestry and agricultural uses (by 01/2015),N/A,Stormwater (NPDES Discharges),georgia forestry commission,state government,statefed,Federal grants,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Quality,,,NPSR,NPSR-1 Advocate Implementing Road Runoff BMPs,"Implement BMPs to control runoff from dirt roads by encouraging County implementation of BMPs indentified in Georgia Resource Conservation and Development Council, “Georgia Better Back Roads – Field Manual”","4, 6","Select best
management
practices needed for
treating stormwater
from rural uses",Implement a variety of stormwater best management practices related to dirt road maintenance (by 01/2015),N/A,Stormwater (NPDES Discharges),epd,state government,statefed,CWSRF; Clean Water Act Section 319(h) Grants,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Supply,Industry,"Groundwater permit capacity gap (Bryan, Bulloch, Effingham, Liberty, and McIntosh Cos.); 2050 industrial groundwater forecast exceeds existing permit capacity in Bryan, Bulloch, Effingham, Liberty, and McIntosh Counties",IGWPC,IGWPC-1 Increase Industrial Groundwater Permit Capacity,"For Green Zone, obtain groundwater permit capacity and construct new or expanded facilities to meet forecasted need. For Red and Yellow Zones, consider alternate source of supply, if applicable. Construct new or expanded facilities to meet forecasted need.","3,4",NA,"Evaluate short-term needs and, if needed, work with EPD to obtain additional permit capacity and/or alternate source of supply (by 01/2025)","Evaluate long-term needs and, if needed, work with EPD to obtain additional permit capacity (by 01/2050)",Groundwater withdrawal (industrial),epd,state government,statefed,DWSRF Loan Program,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Supply,Industry,"Groundwater permit capacity gap (Bryan, Bulloch, Effingham, Liberty, and McIntosh Cos.); 2050 industrial groundwater forecast exceeds existing permit capacity in Bryan, Bulloch, Effingham, Liberty, and McIntosh Counties",IGWPC,IGWPC-1 Increase Industrial Groundwater Permit Capacity,"For Green Zone, obtain groundwater permit capacity and construct new or expanded facilities to meet forecasted need. For Red and Yellow Zones, consider alternate source of supply, if applicable. Construct new or expanded facilities to meet forecasted need.","3,4",NA,"Evaluate short-term needs and, if needed, work with EPD to obtain additional permit capacity and/or alternate source of supply (by 01/2025)","Evaluate long-term needs and, if needed, work with EPD to obtain additional permit capacity (by 01/2050)",Groundwater withdrawal (industrial),industrial water facilities,users,other,DWSRF Loan Program,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,Industry,Wastewater permit capacity gap; Collect additional data where needed on industrial flow volumes and permit conditions to verify permitted versus forecasted needs,IWWPC,IWWPC-1/ Increase Wastewater Permit Capacity,Obtain additional permit data regarding flow volumes and permit conditions for industrial wastewater facilities forecasted needs,5,"Obtain additional
permit data on flow
volumes and permit
conditions for
industrial
wastewater facilities
forecasted needs",Expand/construct new facilities and/or obtain additional wastewater permit capacity to meet forecasted needs (by 01/2025),NA,Industrial wastewater,epd,state government,statefed,,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Demand,Industry,Wastewater permit capacity gap; Collect additional data where needed on industrial flow volumes and permit conditions to verify permitted versus forecasted needs,IWWPC,IWWPC-1/ Increase Wastewater Permit Capacity,Obtain additional permit data regarding flow volumes and permit conditions for industrial wastewater facilities forecasted needs,5,"Obtain additional
permit data on flow
volumes and permit
conditions for
industrial
wastewater facilities
forecasted needs",Expand/construct new facilities and/or obtain additional wastewater permit capacity to meet forecasted needs (by 01/2025),NA,Industrial wastewater,industrial wastewater facilities,users,other,,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,2,,,,Supply,Municipal,Groundwater permit capacity gap (All Counties except Glynn County); 2050 municipal groundwater forecast exceeds existing permit capacity in all counties except Glynn,MGWPC,MGWPC-1 Increase Municipal Groundwater Permit Capacity,"For Green Zone, obtain groundwater permit capacity and construct new or expanded facilities to meet forecasted need. For Red and Yellow Zones, consider alternate source of supply, if applicable. ","3,4",NA,"Evaluate short-term needs and, if needed, work with EPD to obtain additional permit capacity and/or alternate source of supply (by 01/2025)","Evaluate long-term needs and, if needed, work with EPD to obtain additional permit capacity (by 01/2050)",Groundwater Withdrawal (municipal),epd,state government,statefed,Drinking Water State Revolving Fund (DWSRF) Loan Program,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Supply,Agriculture,Help improve surface water flow on the Ogeechee River at Eden and Kings Ferry during low flow conditions,ASWS,ASWS-5 Opportunities and Incentives for Dry-Year Releases from Ponds,"Existing surface water uses - Utilizing incentives and collaborative partnerships, identify opportunities to allow use of agricultural pond storage to augment river flows in times of shortage to 7Q10 low flow periods","1, 2, 3, 4","Develop strategy
and work with
potential
participants/
impacted users to
increase support
for and
implementation of
strategy",Examine opportunities to modify farm and other pond operations to obtain releases in to address gaps (by 01/2015),Modify farm and other pond operations to obtain releases to address gaps (by 01/2030),Surface water withdrawal (Agricultural) ,epd,state government,statefed,State incentive programs,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
CGA,1,,,,Supply,Agriculture,Help improve surface water flow on the Ogeechee River at Eden and Kings Ferry during low flow conditions,ASWS,ASWS-5 Opportunities and Incentives for Dry-Year Releases from Ponds,"Existing surface water uses - Utilizing incentives and collaborative partnerships, identify opportunities to allow use of agricultural pond storage to augment river flows in times of shortage to 7Q10 low flow periods","1, 2, 3, 4","Develop strategy
and work with
potential
participants/
impacted users to
increase support
for and
implementation of
strategy",Examine opportunities to modify farm and other pond operations to obtain releases in to address gaps (by 01/2015),Modify farm and other pond operations to obtain releases to address gaps (by 01/2030),Surface water withdrawal (Agricultural) ,georgia doa,state government,statefed,State incentive programs,http://www.coastalgeorgiacouncil.org/documents/CGA_Adopted_RWP.pdf,,,,,,,,,
